system:index,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,B8A_median,B8_median,date,name,.geo
0_35,528.0,714.0,538.0,1056.0,2229.0,2819.0,2915.0,2685.0,2024-01,Location_36,"{""type"":""Point"",""coordinates"":[113.50607480000001,-8.2298655]}"
0_36,803.0,1015.5,787.5,1512.5,3099.5,3647.0,3962.5,3650.5,2024-01,Location_37,"{""type"":""Point"",""coordinates"":[113.55426370000002,-8.2214045]}"
0_37,343.5,644.0,556.5,1097.5,2153.5,2551.5,2760.5,2503.0,2024-01,Location_38,"{""type"":""Point"",""coordinates"":[113.59065160000002,-8.2134926]}"
0_38,903.0,1135.0,1050.0,1582.0,2784.0,3044.0,3425.0,3071.0,2024-01,Location_39,"{""type"":""Point"",""coordinates"":[113.67629820000002,-8.1284427]}"
0_39,689.5,982.5,810.0,1296.0,2420.5,2876.5,3189.5,3033.0,2024-01,Location_40,"{""type"":""Point"",""coordinates"":[113.68734020000001,-8.1566426]}"
0_40,994.0,1280.0,1234.0,1841.0,2697.0,3061.0,3251.0,2910.0,2024-01,Location_41,"{""type"":""Point"",""coordinates"":[113.6757587,-8.290543700000002]}"
0_41,795.0,981.0,946.0,1368.0,2183.0,2608.0,2836.0,2506.0,2024-01,Location_42,"{""type"":""Point"",""coordinates"":[113.6639124,-8.2781246]}"
0_42,400.0,715.0,429.0,1058.0,2670.0,3517.0,3869.0,3651.0,2024-01,Location_43,"{""type"":""Point"",""coordinates"":[113.64122160000001,-8.2491758]}"
0_43,1059.0,1089.0,1029.0,1164.0,1705.0,1941.0,2178.0,1820.0,2024-01,Location_44,"{""type"":""Point"",""coordinates"":[113.6982031,-8.2755333]}"
0_44,1008.0,1135.0,1093.0,1328.0,1792.0,2091.0,2179.0,1961.0,2024-01,Location_45,"{""type"":""Point"",""coordinates"":[113.6686536,-8.2542823]}"
0_45,682.0,881.0,959.0,1411.0,2174.0,2519.0,2806.0,2467.0,2024-01,Location_46,"{""type"":""Point"",""coordinates"":[113.65666740000002,-8.2457781]}"
0_46,697.0,786.0,917.0,1068.0,1226.0,1409.0,1496.0,1333.0,2024-01,Location_47,"{""type"":""Point"",""coordinates"":[113.6453361,-8.2425641]}"
0_47,722.0,1058.0,1201.0,1617.0,2207.0,2553.0,2742.0,2531.0,2024-01,Location_48,"{""type"":""Point"",""coordinates"":[113.6333966,-8.243971]}"
0_48,869.0,1097.0,975.0,1465.0,2646.0,3106.0,3310.0,3135.0,2024-01,Location_49,"{""type"":""Point"",""coordinates"":[113.671354,-8.108513]}"
0_49,558.0,769.0,763.5,1068.5,1850.0,2337.5,2393.0,2204.5,2024-01,Location_50,"{""type"":""Point"",""coordinates"":[113.7236479,-8.267479800000004]}"
0_50,704.5,875.5,713.5,1072.0,2454.5,3044.0,3301.0,2974.0,2024-01,Location_51,"{""type"":""Point"",""coordinates"":[113.665341,-8.168233000000003]}"
0_51,567.0,833.0,760.0,1197.0,2065.0,2533.0,2475.0,2209.0,2024-01,Location_52,"{""type"":""Point"",""coordinates"":[113.42372090000002,-8.0921273]}"
0_52,675.0,876.5,715.0,1088.0,1824.5,2154.5,2261.0,2045.0,2024-01,Location_53,"{""type"":""Point"",""coordinates"":[113.3925671,-8.1697451]}"
0_53,587.0,760.0,615.0,972.0,2138.5,2693.0,2757.0,2548.5,2024-01,Location_54,"{""type"":""Point"",""coordinates"":[113.38892560000001,-8.1813844]}"
0_54,996.0,1028.0,1012.0,1321.0,1541.0,1682.0,1755.0,1511.0,2024-01,Location_55,"{""type"":""Point"",""coordinates"":[113.3669205,-8.2345339]}"
0_55,843.0,1017.0,862.0,1291.0,2741.0,3483.0,3708.0,3440.0,2024-01,Location_56,"{""type"":""Point"",""coordinates"":[113.84303540000002,-8.0679981]}"
0_56,447.0,758.5,792.0,1194.5,2043.0,2436.5,2462.0,2289.5,2024-01,Location_57,"{""type"":""Point"",""coordinates"":[113.61368170000001,-8.1976365]}"
0_57,570.0,810.0,779.0,1239.0,1720.5,1896.5,1956.0,1909.0,2024-01,Location_58,"{""type"":""Point"",""coordinates"":[113.61483300000002,-8.177417300000002]}"
0_58,537.5,755.5,656.5,1051.0,1763.0,2248.5,2373.0,2158.5,2024-01,Location_59,"{""type"":""Point"",""coordinates"":[113.6106541,-8.166067300000002]}"
0_59,4255.5,4248.5,4153.0,4394.5,4845.0,5184.0,5244.0,5119.0,2024-01,Location_60,"{""type"":""Point"",""coordinates"":[110.621344,-7.057286]}"
0_60,4307.5,4293.0,4189.0,4408.5,4883.5,5223.0,5232.0,5150.5,2024-01,Location_61,"{""type"":""Point"",""coordinates"":[110.626767,-7.054036]}"
0_61,4439.5,4427.5,4306.5,4534.5,5011.0,5354.0,5346.0,5339.0,2024-01,Location_62,"{""type"":""Point"",""coordinates"":[110.64071700000001,-7.045556]}"
0_62,4287.5,4361.0,4254.5,4558.0,4999.0,5329.5,5381.5,5219.5,2024-01,Location_63,"{""type"":""Point"",""coordinates"":[110.654128,-7.037749999999999]}"
0_63,4062.5,4109.5,4028.5,4191.0,4500.5,4767.5,4752.0,4790.5,2024-01,Location_64,"{""type"":""Point"",""coordinates"":[110.661281,-7.032966999999999]}"
0_64,4249.5,4227.5,4134.5,4325.0,4678.0,4964.0,4976.5,4991.0,2024-01,Location_65,"{""type"":""Point"",""coordinates"":[110.668442,-7.028536]}"
0_65,4351.0,4422.0,4328.5,4507.0,4789.0,5010.0,5034.5,5097.5,2024-01,Location_66,"{""type"":""Point"",""coordinates"":[110.679194,-7.021806000000001]}"
0_66,4004.5,4011.5,3876.5,4126.0,4918.5,5474.0,5544.5,5401.5,2024-01,Location_67,"{""type"":""Point"",""coordinates"":[110.642236,-7.089124999999999]}"
0_67,3775.0,3688.0,3487.0,3912.5,4525.5,5109.5,5239.0,5118.0,2024-01,Location_68,"{""type"":""Point"",""coordinates"":[110.643925,-7.084705999999999]}"
0_68,6567.5,6393.5,6205.0,6550.5,6590.5,6650.5,6661.5,7024.5,2024-01,Location_69,"{""type"":""Point"",""coordinates"":[110.666567,-7.069367000000001]}"
0_69,7086.0,6855.5,6646.0,7016.5,6986.0,6960.0,6949.0,7456.5,2024-01,Location_70,"{""type"":""Point"",""coordinates"":[110.67725600000001,-7.061864]}"
0_70,6089.5,5904.0,5750.0,6038.0,6199.0,6385.5,6374.5,6709.5,2024-01,Location_71,"{""type"":""Point"",""coordinates"":[110.69685000000001,-7.048158000000001]}"
